part_name,part_id,status,Attempt_1_Outcome_G,Attempt_2_Outcome_G
Collagenase,BBF10K_000455,cloning_mutation,cloning_mutation,N/A
Neutral Protease,BBF10K_000456,abandoned,N/A,N/A
Cre Recombinase,BBF10K_000457,sequence_failure,sequence_failure,N/A
Flp recombinase,BBF10K_000458,sequence_confirmed,sequence_confirmed,N/A
A0A085WQF1.1,BBF10K_000459,cloning_mutation,cloning_mutation,N/A
Collagenase,BBF10K_000640,abandoned,N/A,N/A
Neutral Protease,BBF10K_000641,abandoned,N/A,N/A
Cre Recombinase,BBF10K_000642,abandoned,N/A,N/A
Flp recombinase,BBF10K_000643,abandoned,N/A,N/A
A0A085WQF1.1,BBF10K_000644,abandoned,N/A,N/A
