,Gene ID,Gene Name,Well
0,BBF10K_000002,MMSYN1_0002,A1
1,BBF10K_000004,MMSYN1_0004,B1
2,BBF10K_000006,MMSYN1_0006,C1
3,BBF10K_000007,MMSYN1_0007,D1
4,BBF10K_000023,MMSYN1_0044,E1
5,BBF10K_000025,MMSYN1_0046,F1
6,BBF10K_000060,MMSYN1_0141,G1
7,BBF10K_000061,MMSYN1_0142,H1
8,BBF10K_000070,MMSYN1_0151,A2
9,BBF10K_000082,MMSYN1_0198,B2
10,BBF10K_000086,MMSYN1_0203,C2
11,BBF10K_000096,MMSYN1_0228,D2
12,BBF10K_000101,MMSYN1_0238,E2
13,BBF10K_000104,MMSYN1_0247,F2
14,BBF10K_000111,MMSYN1_0259,G2
15,BBF10K_000113,MMSYN1_0262,H2
16,BBF10K_000114,MMSYN1_0263,A3
17,BBF10K_000121,MMSYN1_0285,B3
18,BBF10K_000125,MMSYN1_0289,C3
19,BBF10K_000126,MMSYN1_0290,D3
20,BBF10K_000129,MMSYN1_0297,E3
21,BBF10K_000137,MMSYN1_0308,F3
22,BBF10K_000139,MMSYN1_0316,G3
23,BBF10K_000143,MMSYN1_0328,H3
24,BBF10K_000144,MMSYN1_0329,A4
25,BBF10K_000145,MMSYN1_0330,B4
26,BBF10K_000151,MMSYN1_0347,C4
27,BBF10K_000152,MMSYN1_0348,D4
28,BBF10K_000156,MMSYN1_0360,E4
29,BBF10K_000159,MMSYN1_0364,F4
30,BBF10K_000160,MMSYN1_0365,G4
31,BBF10K_000161,MMSYN1_0366,H4
32,BBF10K_000168,MMSYN1_0378,A5
33,BBF10K_000169,MMSYN1_0380,B5
34,BBF10K_000170,MMSYN1_0381,C5
35,BBF10K_000172,MMSYN1_0387,D5
36,BBF10K_000175,MMSYN1_0390,E5
37,BBF10K_000184,MMSYN1_0403,F5
38,BBF10K_000185,MMSYN1_0404,G5
39,BBF10K_000186,MMSYN1_0405,H5
40,BBF10K_000194,MMSYN1_0413,A6
41,BBF10K_000198,MMSYN1_0418,B6
42,BBF10K_000205,MMSYN1_0427,C6
43,BBF10K_000206,MMSYN1_0428,D6
44,BBF10K_000207,MMSYN1_0429,E6
45,BBF10K_000240,MMSYN1_0512,F6
46,BBF10K_000245,MMSYN1_0518,G6
47,BBF10K_000246,MMSYN1_0519,H6
48,BBF10K_000251,MMSYN1_0529,A7
49,BBF10K_000255,MMSYN1_0536,B7
50,BBF10K_000256,MMSYN1_0537,C7
51,BBF10K_000257,MMSYN1_0539,D7
52,BBF10K_000258,MMSYN1_0540,E7
53,BBF10K_000263,MMSYN1_0545,F7
54,BBF10K_000264,MMSYN1_0600,G7
55,BBF10K_000267,MMSYN1_0607,H7
56,BBF10K_000268,MMSYN1_0608,A8
57,BBF10K_000272,MMSYN1_0613,B8
58,BBF10K_000275,MMSYN1_0616,C8
59,BBF10K_000279,MMSYN1_0634,D8
60,BBF10K_000281,MMSYN1_0637,E8
61,BBF10K_000285,MMSYN1_0641,F8
62,BBF10K_000290,MMSYN1_0646,G8
63,BBF10K_000296,MMSYN1_0654,H8
64,BBF10K_000297,MMSYN1_0655,A9
65,BBF10K_000299,MMSYN1_0657,B9
66,BBF10K_000301,MMSYN1_0660,C9
67,BBF10K_000305,MMSYN1_0665,D9
68,BBF10K_000306,MMSYN1_0666,E9
69,BBF10K_000307,MMSYN1_0668,F9
70,BBF10K_000308,MMSYN1_0670,G9
71,BBF10K_000309,MMSYN1_0671,H9
72,BBF10K_000311,MMSYN1_0684,A10
73,BBF10K_000324,MMSYN1_0707,B10
74,BBF10K_000325,MMSYN1_0708,C10
75,BBF10K_000328,MMSYN1_0727,D10
76,BBF10K_000332,MMSYN1_0732,E10
77,BBF10K_000335,MMSYN1_0771,F10
78,BBF10K_000337,MMSYN1_0773,G10
79,BBF10K_000345,MMSYN1_0791,H10
80,BBF10K_000347,MMSYN1_0793,A11
81,BBF10K_000349,MMSYN1_0795,B11
82,BBF10K_000351,MMSYN1_0798,C11
83,BBF10K_000359,MMSYN1_0809,D11
84,BBF10K_000360,MMSYN1_0810,E11
85,BBF10K_000361,MMSYN1_0813,F11
86,BBF10K_000362,MMSYN1_0814,G11
87,BBF10K_000371,MMSYN1_0825,H11
88,BBF10K_000374,MMSYN1_0831,A12
89,BBF10K_000383,MMSYN1_0840,B12
90,BBF10K_000388,MMSYN1_0874,C12
91,BBF10K_000389,MMSYN1_0875,D12
92,BBF10K_000396,MMSYN1_0886,E12
93,BBF10K_000400,MMSYN1_0908,F12
94,Empty,Empty,G12
95,Empty,Empty,H12
