Build,Part,Source Well,Target Well
build007,BBF10K_000497,A1,A1
build007,BBF10K_000468,B1,B1
build007,BBF10K_000485,C1,C1
build007,BBF10K_000493,D1,D1
build007,BBF10K_000499,E1,E1
build007,BBF10K_000478,F1,F1
build007,BBF10K_000490,G1,G1
build007,BBF10K_000488,H1,H1
build007,BBF10K_000481,A2,A2
build007,BBF10K_000476,B2,B2
build007,BBF10K_000487,C2,C2
build007,BBF10K_000483,D2,D2
build007,BBF10K_000475,E2,E2
build007,BBF10K_000474,F2,F2
build007,BBF10K_000492,G2,G2
build007,BBF10K_000472,H2,H2
build007,BBF10K_000495,A3,A3
build007,BBF10K_000479,B3,B3
build007,BBF10K_000473,C3,C3
build007,BBF10K_000489,D3,D3
build007,BBF10K_000482,E3,E3
build007,BBF10K_000486,F3,F3
build007,BBF10K_000491,G3,G3
build007,BBF10K_000480,H3,H3
build007,BBF10K_000494,A4,A4
build007,BBF10K_000469,B4,B4
build007,BBF10K_000501,C4,C4
build007,BBF10K_000470,D4,D4
build007,BBF10K_000500,E4,E4
build007,BBF10K_000484,F4,F4
build007,BBF10K_000496,G4,G4
build007,BBF10K_000471,H4,H4
build007,BBF10K_000477,A5,A5
build007,BBF10K_000498,B5,B5
build007,BBF10K_000544,C5,C5
build007,BBF10K_000522,D5,D5
build007,BBF10K_000549,E5,E5
build007,BBF10K_000550,F5,F5
build007,BBF10K_000542,G5,G5
build007,BBF10K_000502,H5,H5
build007,BBF10K_000503,A6,A6
build007,BBF10K_000508,B6,B6
build007,BBF10K_000506,C6,C6
build007,BBF10K_000552,D6,D6
build007,BBF10K_000509,E6,E6
build007,BBF10K_000518,F6,F6
build007,BBF10K_000513,G6,G6
build007,BBF10K_000516,H6,H6
build007,BBF10K_000533,A7,A7
build007,BBF10K_000519,B7,B7
build007,BBF10K_000515,C7,C7
build007,BBF10K_000546,D7,D7
build007,BBF10K_000547,E7,E7
build007,BBF10K_000527,F7,F7
build007,BBF10K_000543,G7,G7
build007,BBF10K_000528,H7,H7
build007,BBF10K_000504,A8,A8
build007,BBF10K_000524,B8,B8
build007,BBF10K_000514,C8,C8
build007,BBF10K_000521,D8,D8
build007,BBF10K_000534,E8,E8
build007,BBF10K_000551,F8,F8
build007,BBF10K_000540,G8,G8
build007,BBF10K_000541,H8,H8
build007,BBF10K_000531,A9,A9
build007,BBF10K_000537,B9,B9
build007,BBF10K_000520,C9,C9
build007,BBF10K_000525,D9,D9
build007,BBF10K_000548,E9,E9
build007,BBF10K_000529,G9,G9
build007,BBF10K_000523,H9,H9
build007,BBF10K_000511,A10,A10
build007,BBF10K_000536,B10,B10
build007,BBF10K_000532,C10,C10
build007,BBF10K_000505,D10,D10
build007,BBF10K_000530,E10,E10
build007,BBF10K_000538,F10,F10
build007,BBF10K_000507,G10,G10
build007,BBF10K_000526,H10,H10
build007,BBF10K_000517,A11,A11
build007,BBF10K_000559,C11,C11
build007,BBF10K_000558,D11,D11
build007,BBF10K_000556,E11,E11
build007,BBF10K_000560,F11,F11
build007,BBF10K_000557,G11,G11
build007,BBF10K_000555,H11,H11
build007,BBF10K_000553,A12,A12
build007,BBF10K_000493,E12,E12
build007,BBF10K_000499,F12,F12
build007,BBF10K_000478,G12,G12
build007,BBF10K_000490,H12,H12
