,original_build,original_well,build_name,address
BBF10K_002033,build028,B7,build030,A1
BBF10K_002036,build028,C7,build030,B1
BBF10K_002054,build028,D7,build030,C1
BBF10K_002076,build028,E7,build030,D1
BBF10K_002104,build028,F7,build030,E1
BBF10K_002106,build028,G7,build030,F1
BBF10K_002119,build028,H7,build030,G1
BBF10K_002133,build028,B8,build030,H1
BBF10K_002141,build028,C8,build030,A2
BBF10K_002142,build028,D8,build030,B2
BBF10K_001356,build030,C2,build030,C2
BBF10K_001373,build030,D2,build030,D2
BBF10K_001383,build030,E2,build030,E2
BBF10K_001464,build030,F2,build030,F2
BBF10K_002208,build028,F8,build030,G2
BBF10K_001483,build030,H2,build030,H2
BBF10K_002233,build028,G8,build030,A3
BBF10K_002264,build028,H8,build030,B3
BBF10K_001539,build030,C3,build030,C3
BBF10K_001546,build030,D3,build030,D3
BBF10K_001558,build030,E3,build030,E3
BBF10K_001584,build030,F3,build030,F3
BBF10K_002289,build028,B9,build030,G3
BBF10K_002306,build028,C9,build030,H3
BBF10K_002352,build028,D9,build030,A4
BBF10K_002392,build028,E9,build030,B4
BBF10K_001609,build030,C4,build030,C4
BBF10K_001614,build030,D4,build030,D4
BBF10K_002989,build030,E4,build030,E4
BBF10K_001628,build030,F4,build030,F4
BBF10K_001642,build030,G4,build030,G4
BBF10K_001646,build030,H4,build030,H4
BBF10K_002439,build028,F9,build030,A5
BBF10K_002464,build028,G9,build030,B5
BBF10K_001718,build030,C5,build030,C5
BBF10K_002994,build030,D5,build030,D5
BBF10K_001777,build030,E5,build030,E5
BBF10K_001828,build030,F5,build030,F5
BBF10K_001837,build030,G5,build030,G5
BBF10K_001859,build030,H5,build030,H5
BBF10K_002480,build028,H9,build030,A6
BBF10K_001904,build030,B6,build030,B6
BBF10K_001905,build030,C6,build030,C6
BBF10K_001912,build030,D6,build030,D6
BBF10K_001945,build030,E6,build030,E6
BBF10K_001947,build030,F6,build030,F6
BBF10K_001968,build030,G6,build030,G6
BBF10K_001982,build030,H6,build030,H6
BBF10K_002050,build030,A7,build030,A7
BBF10K_002520,build028,B10,build030,B7
BBF10K_002065,build030,C7,build030,C7
BBF10K_002070,build030,D7,build030,D7
BBF10K_002087,build030,E7,build030,E7
BBF10K_002094,build030,F7,build030,F7
BBF10K_002096,build030,G7,build030,G7
BBF10K_002099,build030,H7,build030,H7
BBF10K_002575,build028,C10,build030,A8
BBF10K_002637,build028,D10,build030,B8
BBF10K_002310,build030,C8,build030,C8
BBF10K_002343,build030,D8,build030,D8
BBF10K_002381,build030,E8,build030,E8
BBF10K_002398,build030,F8,build030,F8
BBF10K_002435,build030,G8,build030,G8
BBF10K_002441,build030,H8,build030,H8
BBF10K_002698,build028,E10,build030,A9
BBF10K_003047,build028,F10,build030,B9
BBF10K_002483,build030,C9,build030,C9
BBF10K_002502,build030,D9,build030,D9
BBF10K_002533,build030,E9,build030,E9
BBF10K_002535,build030,F9,build030,F9
BBF10K_002541,build030,G9,build030,G9
BBF10K_002550,build030,H9,build030,H9
BBF10K_002748,build028,G10,build030,A10
BBF10K_002814,build028,H10,build030,B10
BBF10K_002644,build030,C10,build030,C10
BBF10K_002663,build030,D10,build030,D10
BBF10K_002664,build030,E10,build030,E10
BBF10K_002673,build030,F10,build030,F10
BBF10K_002694,build030,G10,build030,G10
BBF10K_002852,build028,C11,build030,H10
BBF10K_002856,build028,D11,build030,A11
BBF10K_002890,build028,F11,build030,B11
BBF10K_002758,build030,C11,build030,C11
BBF10K_002761,build030,D11,build030,D11
BBF10K_002771,build030,E11,build030,E11
BBF10K_002776,build030,F11,build030,F11
BBF10K_002780,build030,G11,build030,G11
BBF10K_002792,build030,H11,build030,H11
BBF10K_002897,build028,G11,build030,A12
BBF10K_002901,build028,H11,build030,B12
BBF10K_002917,build028,B12,build030,C12
BBF10K_002923,build028,C12,build030,D12
BBF10K_003007,build028,D12,build030,E12
BBF10K_003014,build028,E12,build030,F12
BBF10K_003095,build028,F12,build030,G12
BBF10K_003099,build028,G12,build030,H12
